Gene_accession no.	Gene	Group	Family	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
blaVIM-20_1_GQ414736	blaVIM-20	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-23_1_GQ242167	blaVIM-23	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-24_1_HM855205	blaVIM-24	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-25_1_HM750249	blaVIM-25	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-26_1_FR748153	blaVIM-26	blaVIM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	21595797	Enzymatic inactivation	Subclass B1, curated	
blaVIM-27_1_HQ858608	blaVIM-27	blaVIM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	21518835	Enzymatic inactivation	Subclass B1, curated	
blaVIM-28_1_JF900599	blaVIM-28	blaVIM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	Unpublished	Enzymatic inactivation	Subclass B1, curated	
blaVIM-29_1_JX311308	blaVIM-29	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-30_1_JN129451	blaVIM-30	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-31_1_JN982330	blaVIM-31	blaVIM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	22391550	Enzymatic inactivation	Subclass B1, curated	
blaVIM-32_1_JN676230	blaVIM-32	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-33_1_JX258134	blaVIM-33	blaVIM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	23070171	Enzymatic inactivation	Subclass B1, curated	
blaVIM-34_1_JX013656	blaVIM-34	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-35_1_JX982634	blaVIM-35	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-36_1_JX982635	blaVIM-36	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-37_1_JX982636	blaVIM-37	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaVIM-38_1_KC469971	blaVIM-38	blaVIM	Beta-lactam	Beta-lactam				ongoing curation	
blaNDM-1_1_FN396876	blaNDM-1	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	19770275	Enzymatic inactivation	Subclass B1, curated	
blaNDM-2_1_JF703135	blaNDM-2	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	21427107	Enzymatic inactivation	Subclass B1, curated	
blaNDM-3_1_JQ734687	blaNDM-3	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	23330550	Enzymatic inactivation	Subclass B1, curated	
blaNDM-4_1_JQ348841	blaNDM-4	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	22252797	Enzymatic inactivation	Subclass B1, curated	
blaNDM-5_1_JN104597	blaNDM-5	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	21930874	Enzymatic inactivation	Subclass B1, curated	
blaNDM-6_1_JN967644	blaNDM-6	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	23731823	Enzymatic inactivation	Subclass B1, curated	
blaNDM-7_1_JX262694	blaNDM-7	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	23557929	Enzymatic inactivation	Subclass B1, curated	
blaNDM-8_1_AB744718	blaNDM-8	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	23459485	Enzymatic inactivation	Subclass B1, curated	
blaNDM-9_1_KC999080	blaNDM-9	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	24913967	Enzymatic inactivation	Subclass B1, curated	
blaNDM-10_1_KF361506	blaNDM-10	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	26776144	Enzymatic inactivation	Subclass B1, curated	
blaNDM-12_1_AB926431	blaNDM-12	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	25092693	Enzymatic inactivation	Subclass B1, curated	
blaNDM-13_1_LC012596	blaNDM-13	blaNDM	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	26169399	Enzymatic inactivation	Subclass B1, curated	
blaGES-1_1_HQ170511	blaGES-1	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-2_1_AF326355	blaGES-2	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-3_1_AB113580	blaGES-3	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-4_1_AB116723	blaGES-4	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-5_1_DQ236171	blaGES-5	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-6_1_AY494718	blaGES-6	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-7_1_HM453325	blaGES-7	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-8_1_AF329699	blaGES-8	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-9_1_AY920928	blaGES-9	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-10_1_FJ820124	blaGES-10	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-11_1_FJ854362	blaGES-11	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-12_1_FN554543	blaGES-12	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-13_1_GU169702	blaGES-13	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-14_1_GU207844	blaGES-14	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-15_1_GU208678	blaGES-15	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-16_1_HM173356	blaGES-16	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-17_1_HQ874631	blaGES-17	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-18_1_JQ028729	blaGES-18	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-19_1_JN596280	blaGES-19	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-20_1_JN596280	blaGES-20	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-21_1_JQ772478	blaGES-21	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-22_1_JX023441	blaGES-22	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaGES-23_1_KF179354	blaGES-23	blaGES	Beta-lactam	Beta-lactam				ongoing curation	
blaIMI-1_1_U50278	blaIMI-1	blaIMI	Beta-lactam	Beta-lactam				ongoing curation	
blaIMI-2_1_DQ173429	blaIMI-2	blaIMI	Beta-lactam	Beta-lactam				ongoing curation	
blaIMI-3_1_GU015024	blaIMI-3	blaIMI	Beta-lactam	Beta-lactam				ongoing curation	
blaSFC-1_1_AY354402	blaSFC-1	blaSFC	Beta-lactam	Beta-lactam				ongoing curation	
blaSME-1_1_Z28968	blaSME-1	blaSME	Beta-lactam	Beta-lactam				ongoing curation	
blaSME-2_1_AF275256	blaSME-2	blaSME	Beta-lactam	Beta-lactam				ongoing curation	
blaSME-3_1_AY584237	blaSME-3	blaSME	Beta-lactam	Beta-lactam				ongoing curation	
blaFRI-1_1_KT192551	blaFRI-1	blaFRI	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefixime, Cefotaxime, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	26392482		Class A, curated	
blaBRO-1_1_Z54180	blaBRO-1	blaBRO	Beta-lactam	Beta-lactam				ongoing curation	
blaBRO-2_1_Z54181	blaBRO-2	blaBRO	Beta-lactam	Beta-lactam				ongoing curation	
blaBKC-1_1_KP689347	blaBKC-1	blaBKC	Beta-lactam	Beta-lactam				ongoing curation	
blaIMI-5_1_KT599915	blaIMI-5	blaIMI	Beta-lactam	Beta-lactam				ongoing curation	
blaOXA-297_1_APRR01000006	blaOXA-297	blaOXA	Beta-lactam	Beta-lactam		24277043	Enzymatic inactivation	"Class D;OXA-294-like;Natural in Acinetobacter sp. NIPH 1847;, curated"	
blaOXA-296_1_APOH01000009	blaOXA-296	blaOXA	Beta-lactam	Beta-lactam		24277043	Enzymatic inactivation	"Class D;OXA-296-like;Natural in Acinetobacter bohemicus ANC 3994;, curated"	
blaOXA-295_1_APRW01000016	blaOXA-295	blaOXA	Beta-lactam	Beta-lactam		24277043	Enzymatic inactivation	"Class D;OXA-294-like;Natural in Acinetobacter sp. NIPH 2168;, curated"	
blaOXA-294_1_APPC01000015	blaOXA-294	blaOXA	Beta-lactam	Beta-lactam		24277043	Enzymatic inactivation	"Class D;OXA-294-like;Natural in Acinetobacter sp. NIPH 758;, curated"	
blaOXA-292_1_APRO01000007	blaOXA-292	blaOXA	Beta-lactam	Beta-lactam		24277043	Enzymatic inactivation	"Class D;OXA-286-like;Natural in Acinetobacter sp. NIPH 1867;, curated"	
blaOXA-291_1_APRL01000010	blaOXA-291	blaOXA	Beta-lactam	Beta-lactam		24277043	Enzymatic inactivation	"Class D;OXA-286-like;Natural in Acinetobacter sp. ANC 4105;, curated"	
blaOXA-288_1_APRN01000033	blaOXA-288	blaOXA	Beta-lactam	Beta-lactam		24277043	Enzymatic inactivation	"Class D;OXA-286-like;Natural in Acinetobacter sp. CIP 70.18;, curated"	
blaOXA-286_1_APOI01000030	blaOXA-286	blaOXA	Beta-lactam	Beta-lactam		24277043	Enzymatic inactivation	"Class D;OXA-286-like;Natural in Acinetobacter sp. NIPH 809;, curated"	
blaOXA-279_1_APOM01000058	blaOXA-279	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin	24277043	Enzymatic inactivation	"Class D;OXA-279-like;Natural in Acinetobacter parvus DSM 16617 = CIP 108168;, curated"	
blaOXA-275_1_APPJ01000001	blaOXA-275	blaOXA	Beta-lactam	Beta-lactam		24277043	Enzymatic inactivation	"Class D;OXA-274-like;Natural in Acinetobacter guillouiae NIPH 991;, curated"	
blaOXA-274_1_APOS01000038	blaOXA-274	blaOXA	Beta-lactam	Beta-lactam		24277043	Enzymatic inactivation	"Class D;OXA-274-like;Natural in Acinetobacter guillouiae CIP 63.46;, curated"	
blaOXA-266_1_APPO01000008	blaOXA-266	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Ertapenem	24277043	Enzymatic inactivation	"Class D;OXA-266-like;Natural in Acinetobacter venetianus;, curated"	
blaOXA-185_1_JQ396379	blaOXA-185	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-184-like;Natural in Campylobacter jejuni;, curated"	
blaOXA-184_1_JQ396378	blaOXA-184	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-184-like;Natural in Campylobacter jejuni;, curated"	
blaOXA-159_1_KP771987	blaOXA-159	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Imipenem, Meropenem, Piperacillin	26349828	Enzymatic inactivation	"Class D;OXA-156-like;Natural in Pandoraea sp. HD7676;, curated"	
blaOXA-158_1_KP771986	blaOXA-158	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Imipenem, Meropenem, Piperacillin	26349828	Enzymatic inactivation	"Class D;OXA-156-like;Natural in Pandoraea sp. Va8523;, curated"	
blaOXA-157_1_KP771985	blaOXA-157	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Imipenem, Meropenem, Piperacillin	26349828	Enzymatic inactivation	"Class D;Natural in Pandoraea norimbergensis;, curated"	
blaOXA-156_1_KP771984	blaOXA-156	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Imipenem, Meropenem, Piperacillin	26349828	Enzymatic inactivation	"Class D;OXA-156-like;Natural in Pandoraea pulmonicola;, curated"	
blaOXA-155_1_KP771983	blaOXA-155	blaOXA	Beta-lactam	Beta-lactam		26349828	Enzymatic inactivation	"Class D;OXA-154-like;Natural in Pandoraea sputorum;, curated"	
blaOXA-154_1_KP771982	blaOXA-154	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Imipenem, Meropenem, Piperacillin	26349828	Enzymatic inactivation	"Class D;OXA-154-like;Natural in Pandoraea sputorum;, curated"	
blaOXA-153_1_KP771981	blaOXA-153	blaOXA	Beta-lactam	Beta-lactam	Amoxicillin, Ampicillin, Imipenem, Meropenem, Piperacillin	26349828	Enzymatic inactivation	"Class D;OXA-153-like;Natural in Pandoraea apista;, curated"	
blaOXA-151_1_CP009553	blaOXA-151	blaOXA	Beta-lactam	Beta-lactam		26349828	Enzymatic inactivation	"Class D;OXA-62-like;Natural in Pandoraea pnomenusa;, curated"	
blaOXA-152_1_KP771980	blaOXA-152	blaOXA	Beta-lactam	Beta-lactam		26349828	Enzymatic inactivation	"Class D;OXA-62-like;Natural in Pandoraea pnomenusa;, curated"	
mecA_1_NC_002745	mecA	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	11418146	Target modification	curated	
mecA2_1_AM048811	mecA2	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	17005735	Target modification	curated	
mecA_2_NC_002951	mecA	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	15774886	Target modification	curated	
mecA_3_Y13095	mecA	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	9440511	Target modification	curated	
mecC2_1_KF955540	mecC2	mecC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	24569631	Target modification	curated	
mecA1_1_AB547235	mecA1	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	20679504	Target modification	curated	
mecA_4_AB546266	mecA	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	20679504	Target modification	curated	
mecC_1_FR821779	mecC	mecC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	21641281	Target modification	curated	
mecA1_2_AY820253	mecA1	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	unpublished	Target modification	curated	
mecA_5_AB546267	mecA	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	20679504	Target modification	curated	
mecA2_2_AB546780	mecA2	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	20679504	Target modification	curated	
mecA1_3_Y13094	mecA1	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	9440511	Target modification	curated	
mecB_1_NC_011996	mecB	mecB	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	19074389	Target modification	curated	
mecA_6_BX571856	mecA	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	15213324	Target modification	curated	
mecA_7_HE861945	mecA	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	unpublished	Target modification	curated	
mecA1_4_AB547236	mecA1	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	20679504	Target modification	curated	
mecA_8_NC_007168	mecA	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	16237012	Target modification	curated	
mecA1_5_AB547234	mecA1	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	20679504	Target modification	curated	
mecA_9_AB505630	mecA	mecA	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	21422209	Target modification	curated	
mecC_2_FR823292	mecC	mecC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	21636525	Target modification	curated	
mecD_1_KY013611	mecD	mecD	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	28272476	Target modification	curated	
mecC_3_KR732654	mecC	mecC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	26799070	Target modification	curated	
mecC_4_HG515014	mecC	mecC	Beta-lactam	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	24302651	Target modification	curated	
blaOXA-545_1_KY674541	blaOXA-545	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumannii AB25C30;, curated"	
blaOXA-546_1_KY682756	blaOXA-546	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-48-like;Natural in Shewanella xiamenensis Sh1;, curated"	
blaOXA-547_1_KY684124	blaOXA-547	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-48-like;Natural in Shewanella xiamenensis 111D;, curated"	
blaOXA-548_1_KY682750	blaOXA-548	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-548-like;Natural in Shewanella hafniensis Sh29;, curated"	
blaOXA-549_1_KY682751	blaOXA-549	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-548-like;Natural in Shewanella hafniensis Sh26;, curated"	
blaOXA-550_1_KY682752	blaOXA-550	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-548-like;Natural in Shewanella hafniensis Sh20;, curated"	
blaOXA-551_1_KY682753	blaOXA-551	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-548-like;Natural in Shewanella baltica Sh19;, curated"	
blaOXA-552_1_KY682754	blaOXA-552	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-548-like;Natural in Shewanella hafniensis Sh24;, curated"	
blaOXA-553_1_KY682755	blaOXA-553	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-548-like;Natural in Shewanella hafniensis Sh10;, curated"	
blaOXA-554_1_KY126221	blaOXA-554	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumanniiCNM20000307;, curated"	
blaOXA-555_1_KY126224	blaOXA-555	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumanniiCNM20010364;, curated"	
blaOXA-556_1_KY126231	blaOXA-556	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumanniiCNM20040341;, curated"	
blaOXA-557_1_KY126232	blaOXA-557	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumanniiCNM20040355;, curated"	
blaOXA-558_1_KY126234	blaOXA-558	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumanniiCNM20050133;, curated"	
blaOXA-559_1_KY126237	blaOXA-559	blaOXA	Beta-lactam	Beta-lactam		Unpublished	Enzymatic inactivation	"Class D;OXA-51-like;Natural in Acinetobacter baumanniiCNM20071227;, curated"	
